統計期,平均每人GDP(名目值，元)
54年,9172
54年第4季,2463
55年,9964
55年第1季,2387
55年第2季,2447
55年第3季,2395
55年第4季,2735
56年,11230
56年第1季,2695
56年第2季,2709
56年第3季,2720
56年第4季,3106
57年,12769
57年第1季,2982
57年第2季,3081
57年第3季,3168
57年第4季,3538
58年,14265
58年第1季,3471
58年第2季,3487
58年第3季,3489
58年第4季,3818
59年,15868
59年第1季,3700
59年第2季,3934
59年第3季,3926
59年第4季,4308
60年,18043
60年第1季,4258
60年第2季,4510
60年第3季,4457
60年第4季,4818
61年,21189
61年第1季,5004
61年第2季,5301
61年第3季,5252
61年第4季,5632
62年,26989
62年第1季,6000
62年第2季,6338
62年第3季,6792
62年第4季,7859
63年,35483
63年第1季,8804
63年第2季,9070
63年第3季,8708
63年第4季,8901
64年,37435
64年第1季,8748
64年第2季,9214
64年第3季,9437
64年第4季,10036
65年,43992
65年第1季,10342
65年第2季,10857
65年第3季,11073
65年第4季,11720
66年,50541
66年第1季,11693
66年第2季,12557
66年第3季,12599
66年第4季,13692
67年,59348
67年第1季,13523
67年第2季,14598
67年第3季,15168
67年第4季,16059
68年,70196
68年第1季,16212
68年第2季,17336
68年第3季,17904
68年第4季,18744
69年,85995
69年第1季,19900
69年第2季,21175
69年第3季,21635
69年第4季,23285
70年,100079
70年第1季,23610
70年第2季,25103
70年第3季,25448
70年第4季,25918
71年,105586
71年第1季,25316
71年第2季,26668
71年第3季,26625
71年第4季,26977
72年,116305
72年第1季,26707
72年第2季,29449
72年第3季,29694
72年第4季,30455
73年,127747
73年第1季,29850
73年第2季,32810
73年第3季,32734
73年第4季,32353
74年,132093
74年第1季,31313
74年第2季,33492
74年第3季,33253
74年第4季,34035
75年,152768
75年第1季,35353
75年第2季,37883
75年第3季,39185
75年第4季,40347
76年,170512
76年第1季,40216
76年第2季,42461
76年第3季,43879
76年第4季,43956
77年,182244
77年第1季,42840
77年第2季,44829
77年第3季,46683
77年第4季,47892
78年,201065
78年第1季,47474
78年第2季,49542
78年第3季,50987
78年第4季,53062
79年,220637
79年第1季,53081
79年第2季,54402
79年第3季,54879
79年第4季,58275
80年,244739
80年第1季,58325
80年第2季,60348
80年第3季,61358
80年第4季,64708
81年,270928
81年第1季,65346
81年第2季,66756
81年第3季,67644
81年第4季,71182
82年,296672
82年第1季,72094
82年第2季,73356
82年第3季,74112
82年第4季,77110
83年,321502
83年第1季,77394
83年第2季,79440
83年第3季,80025
83年第4季,84643
84年,347526
84年第1季,83220
84年第2季,85216
84年第3季,86984
84年第4季,92106
85年,374569
85年第1季,90198
85年第2季,92097
85年第3季,94173
85年第4季,98101
86年,402380
86年第1季,96925
86年第2季,97529
86年第3季,100043
86年第4季,107883
87年,428946
87年第1季,104683
87年第2季,105071
87年第3季,107329
87年第4季,111863
88年,445447
88年第1季,109755
88年第2季,109457
88年第3季,110256
88年第4季,115979
89年,465574
89年第1季,112713
89年第2季,113206
89年第3季,116824
89年第4季,122831
90年,452951
90年第1季,113222
90年第2季,109305
90年第3季,110744
90年第4季,119680
91年,473260
91年第1季,115094
91年第2季,115202
91年第3季,118444
91年第4季,124520
92年,484164
92年第1季,117716
92年第2季,114101
92年第3季,122085
92年第4季,130262
93年,512047
93年第1季,124126
93年第2季,124782
93年第3季,130321
93年第4季,132818
94年,529556
94年第1季,127234
94年第2季,126608
94年第3季,133462
94年第4季,142252
95年,550863
95年第1季,132330
95年第2季,132437
95年第3季,140175
95年第4季,145921
96年,583133
96年第1季,138268
96年第2季,139481
96年第3季,150648
96年第4季,154736
97年,570279
97年第1季,144721
97年第2季,144172
97年第3季,140947
97年第4季,140439
98年,559807
98年第1季,134819
98年第2季,134508
98年第3季,141465
98年第4季,149015
99年,607596
99年第1季,147518
99年第2季,149886
99年第3季,155737
99年第4季,154455
100年,614922
100年第1季,153297
100年第2季,149702
100年第3季,157167
100年第4季,154756
101年,630749
101年第1季,153765
101年第2季,153099
101年第3季,161594
101年第4季,162291
102年,654142
102年第1季,157387
102年第2季,159449
102年第3季,166054
102年第4季,171252
103年,694680
103年第1季,165254
103年第2季,169567
103年第3季,176757
103年第4季,183102
104年,726895
104年第1季,179835
104年第2季,177245
104年第3季,182665
104年第4季,187150
105年,746526
105年第1季,183756
105年第2季,181155
105年第3季,186819
105年第4季,194796
106年,764678
106年第1季,186316
106年第2季,184107
106年第3季,194297
106年第4季,199958
107年,781169
107年第1季,190219
107年第2季,190941
107年第3季,195985
107年第4季,204024
108年,804123
108年第1季,193960
108年第2季,196231
108年第3季,202331
108年第4季,211601
109年,849105
109年第1季,200655
109年第2季,202302
109年第3季,216447
109年第4季,229701
110年,927776
110年第1季,225036
110年第2季,224674
110年第3季,229763
110年第4季,248303
111年,978579
111年第1季,241359
111年第2季,238497
111年第3季,245758
111年第4季,252965
112年,1010890
112年第1季,235824
112年第2季,244788
112年第3季,257475
112年第4季,272803
113年第1季,260982
113年第2季,266208
113年第3季,274885
